Date,Inflation Rate (%)
2010-06-30,-0.0374873353596758
2011-03-31,-0.5542046605876393
2011-12-31,0.4052684903748733
2012-06-30,0.2708544410672071
2012-09-30,0.0726106045254981
2012-12-31,-0.3100303951367781
2013-12-31,0.5278622087132725
2014-06-30,-0.6352583586626139
2014-12-31,0.2228976697061803
2015-03-31,0.3150962512664641
2015-09-30,-0.6833839918946303
2016-09-30,0.7330293819655522
2017-06-30,-0.310790273556231
2017-09-30,0.0716818642350557
2017-12-31,-0.2608915906788247
2018-03-31,-0.1366092536305302
2018-09-30,-0.1830462681526511
2018-12-31,0.5146909827760893
2019-09-30,-0.224164133738602
2019-12-31,-0.107142857142857
2020-03-31,0.7112462006079028
2020-06-30,-0.8409321175278622
2020-09-30,0.4398851739277272
2020-12-31,0.3595069233367106
2021-12-31,-0.9078014184397164
2022-03-31,0.3541033434650456
