Date,Inflation Rate (%)
2010-06-30,-0.037487335359675855
2011-03-31,-0.5542046605876393
2011-12-31,0.4052684903748733
2012-06-30,0.27085444106720713
2012-09-30,0.07261060452549817
2012-12-31,-0.31003039513677816
2013-12-31,0.5278622087132725
2014-06-30,-0.6352583586626139
2014-12-31,0.22289766970618036
2015-03-31,0.3150962512664641
2015-09-30,-0.6833839918946303
2016-09-30,0.7330293819655522
2017-06-30,-0.310790273556231
2017-09-30,0.07168186423505574
2017-12-31,-0.2608915906788247
2018-03-31,-0.13660925363053028
2018-09-30,-0.18304626815265113
2018-12-31,0.5146909827760893
2019-09-30,-0.224164133738602
2019-12-31,-0.10714285714285704
2020-03-31,0.7112462006079028
2020-06-30,-0.8409321175278622
2020-09-30,0.4398851739277272
2020-12-31,0.35950692333671064
2021-12-31,-0.9078014184397165
2022-03-31,0.35410334346504563
