Date,Inflation Rate (%)
2010-01-31,0.7527862208713273
2010-02-28,0.3140830800405269
2010-03-31,0.7264437689969605
2010-06-30,0.5602836879432623
2011-01-31,0.0060790273556231
2011-11-30,0.7781155015197568
2011-12-31,0.044579533941236066
2012-05-31,0.7872340425531915
2012-05-31,0.5623100303951368
2012-06-30,0.6970618034447822
2012-08-31,0.7548125633232017
2012-10-31,0.4447821681864235
2013-12-31,0.9726443768996961
2014-05-31,0.5825734549138805
2014-06-30,0.1833839918946302
2014-06-30,0.3991894630192503
2014-06-30,0.18439716312056736
2014-12-31,0.5602836879432623
2015-03-31,0.8753799392097265
2015-07-31,0.18439716312056736
2015-09-30,0.19959473150962512
2016-09-30,0.9250253292806484
2017-04-30,0.5977710233029382
2017-04-30,0.8085106382978723
2017-05-31,0.27254305977710236
2017-06-30,0.7781155015197568
2017-09-30,0.6859169199594731
2017-10-31,0.19250253292806482
2017-11-30,0.657548125633232
2018-01-31,0.07396149949341438
2018-03-31,0.04964539007092199
2018-03-31,0.7416413373860182
2018-07-31,0.10536980749746708
2018-11-30,0.6200607902735563
2019-08-31,0.4154002026342452
2019-08-31,0.8085106382978723
2019-08-31,0.25937183383991896
2019-09-30,0.10030395136778116
2019-10-31,0.5775075987841946
2019-11-30,0.0
2020-02-29,1.0
2020-05-31,0.1590678824721378
2020-08-31,0.8308004052684904
2020-08-31,0.3373860182370821
2020-09-30,0.822695035460993
2020-09-30,0.1337386018237082
2020-09-30,0.6423505572441742
2020-09-30,0.8267477203647415
2020-10-31,0.9584599797365755
2021-10-31,0.05065856129685917
2022-03-31,0.4873353596757852
